Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
15,1691330400.0,0.41008142,209
16,1691334000.0,0.4208315,209
17,1691337600.0,0.4468742,209
18,1691341200.0,0.3985026,209
19,1691344800.0,0.3407496,209
20,1691348400.0,0.22726934,209
21,1691352000.0,0.1454621,209
22,1691355600.0,0.14745142,209
23,1691359200.0,0.10460828,209
0,1691276400.0,0.14443077,211
1,1691280000.0,0.17454019,211
2,1691283600.0,0.14486311,211
3,1691287200.0,0.14070712,211
4,1691290800.0,0.11317483,211
5,1691294400.0,0.0500172,211
6,1691298000.0,0.28400782,211
7,1691301600.0,0.28349924,211
8,1691305200.0,0.39288127,211
9,1691308800.0,0.37605336,211
10,1691312400.0,0.43580687,211
11,1691316000.0,0.46742895,211
12,1691319600.0,0.5033263,211
13,1691323200.0,0.52360713,211
14,1691326800.0,0.5382503,211
15,1691330400.0,0.57396877,211
16,1691334000.0,0.7259677,211
17,1691337600.0,0.7480347,211
18,1691341200.0,0.57598245,211
19,1691344800.0,0.50485,211
20,1691348400.0,0.35456175,211
21,1691352000.0,0.28748545,211
22,1691355600.0,0.26598522,211
23,1691359200.0,0.19639346,211
0,1691276400.0,0.12300704,224
1,1691280000.0,0.1531164,224
2,1691283600.0,0.1234394,224
3,1691287200.0,0.11928339,224
4,1691290800.0,0.11214188,224
5,1691294400.0,0.04898424,224
6,1691298000.0,0.08909836,224
7,1691301600.0,0.13290301,224
8,1691305200.0,0.2141189,224
9,1691308800.0,0.19729099,224
10,1691312400.0,0.24634057,224
11,1691316000.0,0.27922207,224
12,1691319600.0,0.31295845,224
13,1691323200.0,0.33323935,224
14,1691326800.0,0.33368093,224
15,1691330400.0,0.36666474,224
16,1691334000.0,0.37389773,224
17,1691337600.0,0.39994067,224
18,1691341200.0,0.35406256,224
19,1691344800.0,0.29824036,224
20,1691348400.0,0.23198561,224
21,1691352000.0,0.16712804,224
22,1691355600.0,0.12899242,224
23,1691359200.0,0.09839341,224
0,1691276400.0,0.20457554,229
1,1691280000.0,0.2351423,229
2,1691283600.0,0.19830221,229
3,1691287200.0,0.19484958,229
4,1691290800.0,0.18770806,229
5,1691294400.0,0.30593392,229
6,1691298000.0,0.36059126,229
7,1691301600.0,0.54454154,229
8,1691305200.0,0.71276706,229
9,1691308800.0,0.7010663,229
10,1691312400.0,0.7777093,229
11,1691316000.0,0.94726497,229
12,1691319600.0,1.0232128,229
13,1691323200.0,1.0434936,229
14,1691326800.0,1.1545134,229
15,1691330400.0,1.210951,229
16,1691334000.0,1.2585574,229
17,1691337600.0,1.1326611,229
18,1691341200.0,1.086783,229
19,1691344800.0,0.98590714,229
20,1691348400.0,0.79596126,229
21,1691352000.0,0.59322774,229
22,1691355600.0,0.5451582,229
23,1691359200.0,0.58388156,229
0,1691276400.0,0.06381131,230
1,1691280000.0,0.10708446,230
2,1691283600.0,0.08108168,230
3,1691287200.0,0.07692568,230
4,1691290800.0,0.07189865,230
5,1691294400.0,0.008740997,230
6,1691298000.0,0.0388743,230
7,1691301600.0,-0.016715238,230
8,1691305200.0,0.05008477,230
9,1691308800.0,0.0022291818,230
10,1691312400.0,0.051278725,230
11,1691316000.0,0.08416017,230
12,1691319600.0,0.0909333,230
13,1691323200.0,0.09219561,230
14,1691326800.0,0.09263717,230
15,1691330400.0,0.08768011,230
16,1691334000.0,0.086455636,230
17,1691337600.0,0.08286777,230
18,1691341200.0,0.036989678,230
19,1691344800.0,0.018448407,230
20,1691348400.0,0.017811341,230
21,1691352000.0,0.0063728034,230
22,1691355600.0,0.0069944253,230
23,1691359200.0,0.0026335076,230
0,1691276400.0,0.19456589,231
1,1691280000.0,0.21827413,231
2,1691283600.0,0.1885971,231
3,1691287200.0,0.17819388,231
4,1691290800.0,0.1710523,231
5,1691294400.0,0.107894674,231
6,1691298000.0,0.23315482,231
7,1691301600.0,0.31464228,231
8,1691305200.0,0.39585814,231
9,1691308800.0,0.33374658,231
10,1691312400.0,0.38279617,231
11,1691316000.0,0.41518345,231
12,1691319600.0,0.44891983,231
13,1691323200.0,0.5204751,231
14,1691326800.0,0.5836439,231
15,1691330400.0,0.6193623,231
16,1691334000.0,0.66362303,231
17,1691337600.0,0.7821611,231
18,1691341200.0,0.8442645,231
19,1691344800.0,0.6909442,231
20,1691348400.0,0.53421056,231
21,1691352000.0,0.3642558,231
22,1691355600.0,0.30289593,231
23,1691359200.0,0.2929883,231
0,1691276400.0,0.11110316,232
1,1691280000.0,0.1514228,232
2,1691283600.0,0.12174579,232
3,1691287200.0,0.10837068,232
4,1691290800.0,0.10122915,232
5,1691294400.0,0.03807152,232
6,1691298000.0,0.07818562,232
7,1691301600.0,0.1383125,232
8,1691305200.0,0.40128314,232
9,1691308800.0,0.38610113,232
10,1691312400.0,0.4351507,232
11,1691316000.0,0.5548056,232
12,1691319600.0,0.6987229,232
13,1691323200.0,0.71900374,232
14,1691326800.0,0.7897811,232
15,1691330400.0,0.8618086,232
16,1691334000.0,0.8700652,232
17,1691337600.0,0.94184667,232
18,1691341200.0,0.8959686,232
19,1691344800.0,0.75304943,232
20,1691348400.0,0.5614567,232
21,1691352000.0,0.39116064,232
22,1691355600.0,0.35726744,232
23,1691359200.0,0.25764284,232
0,1691276400.0,0.17092529,233
1,1691280000.0,0.18300499,233
2,1691283600.0,0.15332796,233
3,1691287200.0,0.14917195,233
4,1691290800.0,0.14203043,233
5,1691294400.0,0.07887281,233
6,1691298000.0,0.103615634,233
7,1691301600.0,0.15193923,233
8,1691305200.0,0.23315515,233
9,1691308800.0,0.22746496,233
10,1691312400.0,0.27651447,233
11,1691316000.0,0.309396,233
12,1691319600.0,0.34313238,233
13,1691323200.0,0.36341327,233
14,1691326800.0,0.36385486,233
15,1691330400.0,0.39683867,233
16,1691334000.0,0.36819753,233
17,1691337600.0,0.39424047,233
18,1691341200.0,0.34836236,233
19,1691344800.0,0.29254016,233
20,1691348400.0,0.22628544,233
21,1691352000.0,0.15920898,233
22,1691355600.0,0.12531579,233
23,1691359200.0,0.094716765,233
0,1691276400.0,0.28062811,234
1,1691280000.0,0.31221208,234
2,1691283600.0,0.27814457,234
3,1691287200.0,0.27639538,234
4,1691290800.0,0.2711891,234
5,1691294400.0,0.20803142,234
6,1691298000.0,0.2481455,234
7,1691301600.0,0.2964693,234
8,1691305200.0,0.3917892,234
9,1691308800.0,0.3757651,234
10,1691312400.0,0.42481464,234
11,1691316000.0,0.44977683,234
12,1691319600.0,0.5024483,234
13,1691323200.0,0.52272916,234
14,1691326800.0,0.52067715,234
15,1691330400.0,0.399795,234
16,1691334000.0,0.41054508,234
17,1691337600.0,0.4620042,234
18,1691341200.0,0.41363254,234
19,1691344800.0,0.35781035,234
20,1691348400.0,0.26711178,234
21,1691352000.0,0.1640398,234
22,1691355600.0,0.119343266,234
23,1691359200.0,0.08252728,234
0,1691276400.0,0.027978841,236
1,1691280000.0,0.10083528,236
2,1691283600.0,0.071158245,236
3,1691287200.0,0.083124325,236
4,1691290800.0,0.075982794,236
5,1691294400.0,0.0010017671,236
6,1691298000.0,0.044538606,236
7,1691301600.0,0.11783412,236
